departure_city,arrival_city,departure_date,flight_duration,delay_minutes,Customer ID,Name,booking_class,frequent_flyer_status,route,ticket_price,Competitor Price,demand,Origin,Destination,profitability,loyalty_points,churn
New Sarashire,West Graceside,4/26/2023 7:29,0.166410059,20,1144,Matthew Bird,Economy,Silver,SYD-MEL,455.2986153,284.0222236,-0.301695021,SYD,SIN,0.556350221,639,1
North Lorifurt,Johnsontown,5/15/2023 5:57,1.275810451,83,9494,Kimberly Sullivan,Economy,Gold,BNE-SYD,395.5985716,437.4245723,1.324496968,MEL,LAX,0.844142467,1544,1
Julianberg,North Brittneychester,5/31/2023 22:28,1.275810451,34,1071,Roberta Ramirez,Economy,Gold,MEL-BNE,287.1722654,358.8703252,-1.539542655,MEL,SIN,0.723256467,3664,0
Port Jason,Mannshire,4/26/2023 1:32,-0.942990334,57,9589,Paul Hardy,First,Gold,MEL-BNE,415.2056849,93.57967908,0.644894345,BNE,LAX,1.453537879,4287,1
Flowersburgh,East Justin,4/27/2023 6:57,0.721110255,111,3575,Matthew Cannon,First,Platinum,SYD-MEL,288.0860579,273.6504632,-1.078383732,BNE,LHR,0.732186718,380,1
Port Robert,Morenofort,4/23/2023 3:09,0.166410059,34,5338,Kayla Jones,First,Gold,MEL-BNE,432.5450391,349.5966815,1.13032479,BNE,SIN,1.186032165,1377,0
Williamsville,East Connie,6/1/2023 1:30,-0.942990334,70,6072,Michael Thomas,Business,Platinum,MEL-BNE,183.997709,93.41892581,-0.325966543,SYD,LAX,0.784372809,1945,0
Coxburgh,Levineport,4/23/2023 14:45,-0.388290137,55,1725,Matthew Rogers,Economy,Gold,BNE-SYD,411.318968,222.0006159,-0.131794366,BNE,LHR,1.149602307,2343,1
West Nicoleland,Vasquezhaven,5/17/2023 4:30,1.275810451,25,5528,Colin Robertson,Economy,Gold,BNE-SYD,192.0960425,366.0122909,-0.83566851,SYD,LHR,0.930550359,4254,1
Aprilchester,North Jeffreyside,5/6/2023 16:08,0.721110255,44,9481,Hayden Wright,Business,Platinum,MEL-BNE,161.1073401,134.7878868,-1.248284388,BNE,LAX,1.163875463,630,0
New Christopher,Kevinhaven,5/28/2023 9:18,0.721110255,34,3194,Diane Osborne,Economy,Gold,SYD-MEL,461.2534451,98.88956763,0.402179123,SYD,LAX,1.361781074,1561,0
Susanberg,South Billy,5/3/2023 4:40,-0.942990334,118,1291,Anna Suarez,First,Platinum,MEL-BNE,448.0751214,437.6724114,-0.350238066,SYD,LHR,1.150655289,2600,0
Lake Billyland,Loganchester,5/21/2023 4:49,1.275810451,61,2719,Jessica Wood,Economy,Platinum,MEL-BNE,204.2874635,330.6489136,-1.636628743,BNE,LAX,1.016127415,4629,0
Walkerberg,Lake Matthewbury,5/26/2023 21:32,1.275810451,51,3760,Thomas Wise,First,Gold,MEL-BNE,440.6424415,321.2999664,0.47499369,BNE,LAX,0.912953294,826,0
East Alejandra,Berryberg,5/1/2023 21:08,0.721110255,33,4756,Timothy Lloyd,Economy,Platinum,MEL-BNE,206.6343348,210.0233442,-1.660900266,BNE,SIN,0.747076198,4047,0
Edwardsbury,Cassandramouth,5/21/2023 19:05,-0.388290137,68,7670,Alexis Anderson,First,Platinum,MEL-BNE,261.7427944,372.403527,1.081781745,MEL,LAX,0.601155174,4445,0
Martinezborough,Johnfurt,6/3/2023 5:14,-1.49769053,72,8935,Scott Gill,First,Silver,BNE-SYD,167.6519646,259.7604877,0.790523479,MEL,SIN,0.73292187,3704,0
Port Tina,Cherylmouth,5/25/2023 14:44,1.275810451,21,9704,Christina Perez,Economy,Platinum,BNE-SYD,263.7969127,288.1919586,0.329364557,BNE,SIN,0.783682175,1366,1
Josechester,East Michellechester,6/7/2023 10:01,-0.388290137,34,5469,Robert Cook,Economy,Silver,SYD-MEL,134.0838769,269.2293139,-0.010436755,BNE,LAX,1.209381367,4601,1
Mcdonaldmouth,Ryanfort,6/1/2023 19:42,1.275810451,59,6367,Sandy York,Business,Silver,MEL-BNE,446.4997014,242.9580593,1.421583057,BNE,LHR,0.515533493,4240,0
Lake Jeremyville,North Lawrencemouth,5/8/2023 8:18,0.166410059,40,2868,Jordan Howard,Business,Gold,MEL-BNE,349.0371943,267.8094982,-0.544410243,MEL,LAX,0.852119214,899,0
South Emily,East Jacob,5/26/2023 12:13,0.166410059,86,7859,Kevin Roach,Economy,Platinum,MEL-BNE,401.0066368,148.3792101,-0.131794366,MEL,LHR,0.984201032,3615,0
West Randyton,West Dannyport,5/13/2023 10:40,0.166410059,120,3716,Jason Huffman,First,Silver,BNE-SYD,256.6561304,120.2637722,1.397311534,BNE,LHR,1.307885181,4128,0
West Ericland,South Tara,5/31/2023 2:53,1.275810451,81,4333,Willie Shaffer,Economy,Platinum,BNE-SYD,167.682002,454.3948869,-0.350238066,SYD,LAX,0.780732239,4729,1
Stevenville,Nicholasberg,6/14/2023 12:56,0.166410059,37,6107,Paul Morton,Business,Platinum,MEL-BNE,458.5803412,288.0792414,-1.199741343,BNE,LHR,1.428863903,560,0
Leeberg,Higginstown,5/5/2023 2:03,-0.942990334,85,2863,Shawn Miller,First,Platinum,MEL-BNE,411.6825198,466.161339,-1.418185043,SYD,LAX,1.377966327,187,0
New Stevenfurt,Bondhaven,5/31/2023 21:45,1.275810451,6,1171,Victor Estrada,Business,Platinum,SYD-MEL,264.429502,180.6780109,-0.204608932,MEL,LAX,0.912833915,3167,1
East Thomasland,North Jennifershire,6/2/2023 8:08,1.275810451,72,1524,Carolyn Crosby,First,Gold,MEL-BNE,126.4939896,129.3775242,-1.418185043,MEL,LHR,0.551129499,1109,1
Port Carolyn,Port Robert,6/5/2023 6:09,-1.49769053,52,2409,Melissa Horton,First,Platinum,BNE-SYD,151.6303006,324.3360049,0.863338045,BNE,SIN,1.413756928,3017,0
Tiffanychester,Hughesland,4/18/2023 1:13,-0.388290137,11,3742,Terri Perkins,First,Silver,SYD-MEL,440.6537844,171.8577728,1.979828068,BNE,SIN,1.273133882,4357,0
Ericaton,Scottbury,4/23/2023 18:41,0.166410059,104,7185,Aaron Williams,Economy,Silver,SYD-MEL,392.826543,460.3013823,0.03810629,SYD,SIN,0.886712842,1057,1
East Lori,Gallowaychester,6/15/2023 1:04,1.275810451,63,4323,Patrick Cook,Business,Platinum,MEL-BNE,304.8922408,476.020503,-0.325966543,SYD,LHR,0.874679819,2180,0
Michaelchester,Fullerbury,5/7/2023 23:32,0.721110255,113,6778,Melissa Francis,Economy,Gold,BNE-SYD,255.8471632,389.8273747,-0.981297643,MEL,LAX,0.705343659,938,1
South Brenda,Nicholsshire,6/7/2023 13:40,0.721110255,65,2226,Manuel Long,Business,Platinum,BNE-SYD,272.1043274,167.6712905,-1.151198299,SYD,LHR,1.423079625,2802,1
North Selena,Katherineburgh,5/12/2023 18:41,-1.49769053,112,3222,Jennifer Hernandez,Business,Platinum,SYD-MEL,448.844622,412.5625108,0.280821512,SYD,SIN,1.289208982,3659,0
Pottsfort,Gutierrezport,6/5/2023 7:52,1.275810451,34,6925,Andrea Williams,Economy,Platinum,BNE-SYD,316.2647404,247.771448,-0.325966543,BNE,LAX,0.959366746,472,0
Reyesshire,Rogershaven,4/19/2023 8:41,1.275810451,58,8915,James Hughes,First,Gold,MEL-BNE,170.775027,388.696272,-0.058979799,SYD,LHR,0.932995554,967,0
Lake Johnfurt,South Brittany,6/3/2023 8:59,-0.388290137,112,1010,Kathryn Mckay,Business,Silver,SYD-MEL,488.0134717,460.2571929,-1.05411221,SYD,LHR,1.03462751,1181,1
Kennedyfort,South Amy,6/4/2023 6:55,0.721110255,45,2363,Derrick Williams,Economy,Gold,BNE-SYD,325.551897,321.2999981,1.470126101,BNE,SIN,0.898990389,1986,0
East Laura,New Jenniferfurt,5/25/2023 21:42,-1.49769053,64,2241,Bridget Sanchez,First,Platinum,SYD-MEL,161.2647125,228.37492,1.712841323,MEL,LHR,0.99392484,2418,1
Jessicaburgh,West Richard,5/24/2023 15:54,1.275810451,119,5494,Kevin Mejia,First,Platinum,SYD-MEL,243.3805963,446.2423752,-1.151198299,SYD,SIN,1.053324825,1059,0
Jameshaven,East Lauren,5/20/2023 14:35,1.275810451,94,4338,Erik Robinson,Economy,Silver,MEL-BNE,126.1688092,225.7414897,0.596351301,MEL,LAX,1.084219752,4322,1
Port Cory,Russellberg,6/11/2023 20:01,1.275810451,5,6239,Adrian Palmer,First,Platinum,MEL-BNE,365.4364757,234.7073675,1.591483712,BNE,LAX,1.121151019,4776,1
Coryton,Hillport,5/28/2023 14:36,0.721110255,8,4410,Peter Simmons,Business,Platinum,SYD-MEL,436.380354,348.7170499,-0.301695021,SYD,LAX,1.450383915,4840,1
Josephview,Port Garyport,4/21/2023 18:22,-0.388290137,108,7739,Christopher Meyer,Business,Gold,SYD-MEL,304.8739395,450.6767729,1.56721219,SYD,LAX,1.094742015,1486,0
Hardyberg,Valenciachester,5/17/2023 6:51,-1.49769053,61,6803,Barry Jones,Business,Platinum,SYD-MEL,456.7009265,186.9368102,-1.369641999,SYD,LHR,0.90005328,1659,1
Port Sheenatown,East Melissa,6/4/2023 8:10,1.275810451,10,8333,Matthew Mcbride,Business,Gold,MEL-BNE,490.7024599,160.6945482,1.251682401,BNE,SIN,1.452347601,4434,1
Michaelbury,Nelsonstad,5/1/2023 1:09,-1.49769053,75,8457,Eric Lloyd,Business,Gold,BNE-SYD,475.2672757,232.3717945,0.887609568,BNE,LHR,0.9525074,1527,0
East Erica,South Allenbury,4/18/2023 11:47,1.275810451,71,3432,Brandon Schneider,Business,Silver,MEL-BNE,258.6020747,113.7581623,-0.544410243,BNE,SIN,0.526549414,1417,0
South Bryan,Port Robert,5/1/2023 18:34,-1.49769053,70,3099,Eric Johnston,First,Platinum,SYD-MEL,254.1411727,204.9711424,0.402179123,MEL,LHR,1.144370283,1510,1
Brianshire,West Alexis,4/26/2023 9:52,1.275810451,34,7057,Cheryl Lopez,First,Platinum,SYD-MEL,498.5493693,245.276277,1.615755234,SYD,LHR,0.532779703,4654,1
South Brittany,Fitzgeraldbury,5/21/2023 14:06,-1.49769053,42,9409,Willie Ferguson,Business,Gold,SYD-MEL,488.5411549,233.6708044,1.858470457,BNE,SIN,0.901994469,1133,0
North Evelynland,Lucasstad,6/16/2023 21:25,-0.942990334,9,3464,Sarah Norton,Economy,Silver,MEL-BNE,292.5625097,344.1323746,1.227410879,BNE,LHR,1.061498756,2811,0
Thomasshire,Freemanfort,5/23/2023 16:11,-0.388290137,29,9271,Jorge Mckinney,First,Gold,BNE-SYD,355.9407653,410.4935245,0.377907601,BNE,LAX,1.319465429,3814,0
North Karenstad,Ashleyburgh,4/29/2023 16:55,-1.49769053,28,5152,Lauren Hanson,Business,Gold,SYD-MEL,404.80637,391.2979391,-0.83566851,BNE,LAX,0.943019114,329,1
Lindseyton,Lake Jesus,6/2/2023 12:29,-0.942990334,74,1735,Charles Lutz,Economy,Platinum,BNE-SYD,324.0289907,453.425706,0.062377812,MEL,LHR,1.202636269,3361,1
New Guymouth,Jonesborough,6/12/2023 7:56,0.166410059,48,2957,Rhonda Johnson,Economy,Gold,BNE-SYD,116.4902455,419.3263721,1.56721219,BNE,LHR,0.890094219,4764,0
Wileyland,East Alyssa,4/25/2023 21:17,-1.49769053,69,9523,Miss Jessica Sharp,First,Gold,BNE-SYD,422.6510774,239.8704425,1.688569801,BNE,LAX,0.886692702,1327,0
North Gregorymouth,Christinaville,4/26/2023 9:13,-0.388290137,117,3236,Amanda Harris,Business,Platinum,MEL-BNE,131.7929267,473.9643654,0.110920857,MEL,SIN,1.439899909,1221,1
New Ashley,West Victoriaside,5/25/2023 9:33,1.275810451,96,6638,Mary Barber,Economy,Gold,MEL-BNE,141.5580893,241.6138149,-0.811396988,MEL,LHR,1.180048198,2662,1
Samanthaport,Jeremyport,4/18/2023 3:26,-0.388290137,77,9245,Keith Strickland,First,Gold,SYD-MEL,218.7461714,167.7340249,-0.058979799,MEL,LHR,1.001188977,3106,1
South Kimberlyland,North William,5/29/2023 14:50,-0.942990334,29,5465,Timothy Myers,Economy,Silver,BNE-SYD,302.6711362,116.254351,1.907013501,SYD,SIN,1.437436397,4295,1
Port Michellefort,East Davidbury,6/6/2023 20:04,0.166410059,105,7461,Maxwell Cruz,Business,Platinum,SYD-MEL,487.3546642,241.2631427,-0.39878111,MEL,LAX,1.458667422,4161,0
West Vincentchester,North Stevenhaven,5/6/2023 12:36,-0.388290137,57,3708,Michael Dixon,Business,Platinum,BNE-SYD,150.277724,253.9824241,1.470126101,MEL,LHR,1.492505135,3832,0
Jonesside,Cookshire,6/16/2023 1:08,0.166410059,28,8855,Darren Garcia,Business,Platinum,SYD-MEL,375.9034017,437.5955451,-0.762853943,SYD,SIN,0.838043066,1746,0
Lake Alexandrashire,Stephaniefort,6/3/2023 5:48,0.721110255,47,8228,Teresa Smith,Economy,Silver,SYD-MEL,177.8275132,101.7717601,0.402179123,MEL,LHR,1.288807395,4329,1
Brittneychester,South Patricia,6/7/2023 1:09,-1.49769053,15,6848,Brittney Swanson,Economy,Silver,SYD-MEL,210.2361932,275.9633903,0.208006945,BNE,LAX,1.127111836,3522,1
South Staceyhaven,West Kenneth,5/19/2023 23:13,-1.49769053,84,3724,Jessica Johnson,Business,Gold,BNE-SYD,184.3301889,246.368703,-0.520138721,BNE,SIN,0.569016727,3244,1
Arnoldtown,Morriston,5/22/2023 11:51,0.166410059,8,8395,Amber Mcclure,First,Gold,SYD-MEL,464.2828015,199.5494495,-0.981297643,SYD,LAX,0.531338584,1484,1
Murrayhaven,Lake Jennifermouth,5/27/2023 21:15,-0.942990334,7,4142,Lisa Luna,First,Gold,BNE-SYD,457.4535794,280.3917206,0.741980434,SYD,LHR,1.483030311,1328,1
Butlerside,East Morganburgh,6/3/2023 14:46,0.721110255,1,1017,Jeffrey Turner,Business,Platinum,MEL-BNE,168.6297743,425.6054402,0.086649334,SYD,SIN,0.908496204,4950,0
